Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Position
simple,petel-fresh,פטל טרי מהחממה,1,1,visible,סלסלה 250 גר׳,"סלסלת פטל אדום טרי, נקטף באותו בוקר בחממות המשק. מתוק, עסיסי ומלא טעם.",1,40,35,פירות טריים,1
simple,blueberries-fresh,אוכמניות טריות,1,1,visible,סלסלה 125 גר׳,"אוכמניות כחולות וגדולות מהשדה, עשירות בנוגדי חמצון.",1,35,32,פירות טריים,2
simple,strawberries,תות שדה,1,1,visible,סלסלה 500 גר׳,"תותים אדומים ומתוקים, ישר מהמשק אליכם.",1,50,25,פירות טריים,3
simple,petel-jam,ריבת פטל ביתית,1,1,visible,צנצנת 250 גר׳,"ריבה מבושלת במשק בסירים קטנים, מפירות הבוטיק שלנו בלבד. ללא חומרים משמרים.",1,60,28,ריבות וממרחים,4
simple,berry-mix-jam,ריבת פירות יער,1,0,visible,צנצנת 250 גר׳,"שילוב מנצח של פטל, אוכמניות ותות בצנצנת אחת.",1,45,30,ריבות וממרחים,5
simple,petel-syrup,סירופ פטל טבעי,1,0,visible,בקבוק 500 מ״ל,"סירופ מרוכז מפטל אמיתי – מושלם לסודה, לימונדה וקינוחים.",1,30,38,משקאות,6
simple,berry-liqueur,ליקר פירות יער,1,0,visible,בקבוק 375 מ״ל,"ליקר בוטיק בייצור מקומי מפירות המשק. מתנה מושלמת.",1,20,75,משקאות,7
simple,frozen-berries,פירות יער קפואים,1,0,visible,שקית 1 ק״ג,"תערובת פירות יער מהמשק, הוקפאו בשיא הטריות. מעולה לשייקים.",1,25,45,קפואים,8
simple,berry-honey,דבש פריחת פטל,1,0,visible,צנצנת 350 גר׳,"דבש מכוורות הניצבות לצד שדות הפטל – טעם עדין ומיוחד.",1,30,42,ריבות וממרחים,9
simple,gift-basket,מארז שי מפנק,1,1,visible,מארז,"מארז מתנה: ריבה, סירופ, דבש ופירות מיובשים באריזת בוטיק. אפשרות להקדשה אישית.",1,15,149,מארזים ומתנות,10
simple,dried-berries,פירות יער מיובשים,1,0,visible,שקית 100 גר׳,"חטיף בריאות טבעי – פירות המשק בייבוש עדין ללא תוספת סוכר.",1,40,26,חטיפים,11
simple,picking-voucher,שובר קטיף עצמי זוגי,1,0,visible,שובר לזוג,"שובר מתנה לחוויית קטיף עצמי זוגית בחממת הפטל הקסומה, כולל סלסלה וקפה מקפה פלורה בפטל.",1,100,120,מארזים ומתנות,12
